"Code Fap";"Libellé de la famille professionnelle";"Année";"Salaire médian (en €)"
"F5Z70";"Techniciens et agents de maîtrise des matériaux souples, du bois et des industries graphiques";"2017-2019";"2000"
"G";"Maintenance";"2003-2005";"1475"
"G";"Maintenance";"2017-2019";"1901"
"G0A";"Ouvriers qualifiés de la maintenance";"2003-2005";"1388"
"G0A";"Ouvriers qualifiés de la maintenance";"2017-2019";"1750"
"G0A40";"Ouvriers qualifiés de la maintenance en mécanique";"2003-2005";"1423"
"G0A40";"Ouvriers qualifiés de la maintenance en mécanique";"2017-2019";"1888"
"G0A41";"Ouvriers qualifiés de la maintenance en électricité et en électronique";"2017-2019";"2000"
"G0A41";"Ouvriers qualifiés de la maintenance en électricité et en électronique";"2003-2005";"1500"
"G0A43";"Ouvriers qualifiés polyvalents d'entretien du bâtiment";"2017-2019";"1540"
"G0A43";"Ouvriers qualifiés polyvalents d'entretien du bâtiment";"2003-2005";"1265"
"G0B";"Ouvriers qualifiés de la réparation automobile";"2017-2019";"1625"
"G0B";"Ouvriers qualifiés de la réparation automobile";"2003-2005";"1246"
"G0B40";"Carrossiers automobiles";"2003-2005";"1300"
"G0B40";"Carrossiers automobiles";"2017-2019";"1700"
"G0B41";"Mécaniciens et électroniciens de véhicules";"2003-2005";"1220"
"G0B41";"Mécaniciens et électroniciens de véhicules";"2017-2019";"1600"
"G1Z";"Techniciens et agents de maîtrise de la maintenance";"2017-2019";"2020"
"G1Z";"Techniciens et agents de maîtrise de la maintenance";"2003-2005";"1683"
"G1Z70";"Techniciens et agents de maîtrise de la maintenance et de l'environnement";"2017-2019";"2100"
"G1Z70";"Techniciens et agents de maîtrise de la maintenance et de l'environnement";"2003-2005";"1702"
"G1Z71";"Techniciens experts";"2017-2019";"1994"
"G1Z71";"Techniciens experts";"2003-2005";"1609"
"G1Z80";"Agents de maîtrise en entretien";"2003-2005";"1698"
"G1Z80";"Agents de maîtrise en entretien";"2017-2019";"2000"
"H";"Ingénieurs et cadres de l'industrie";"2017-2019";"3120"
"H";"Ingénieurs et cadres de l'industrie";"2003-2005";"2694"
"H0Z";"Ingénieurs et cadres techniques de l'industrie";"2003-2005";"2694"
"H0Z";"Ingénieurs et cadres techniques de l'industrie";"2017-2019";"3120"
"H0Z90";"Ingénieurs et cadres de fabrication et de la production";"2003-2005";"2973"
"H0Z90";"Ingénieurs et cadres de fabrication et de la production";"2017-2019";"3431"
"H0Z91";"Cadres techniques de la maintenance et de l'environnement";"2017-2019";"3100"
"H0Z91";"Cadres techniques de la maintenance et de l'environnement";"2003-2005";"2604"
"H0Z92";"Ingénieurs des méthodes de production, du contrôle qualité";"2003-2005";"2348"
"H0Z92";"Ingénieurs des méthodes de production, du contrôle qualité";"2017-2019";"2800"
"J";"Transports, logistique et tourisme";"2017-2019";"1700"
"J";"Transports, logistique et tourisme";"2003-2005";"1312"
"J0Z";"Ouvriers non qualifiés de la manutention";"2017-2019";"1380"
"J0Z";"Ouvriers non qualifiés de la manutention";"2003-2005";"1083"
"J0Z20";"Ouvriers non qualifiés de l'emballage et manutentionnaires";"2003-2005";"1083"
"J0Z20";"Ouvriers non qualifiés de l'emballage et manutentionnaires";"2017-2019";"1380"
"J1Z";"Ouvriers qualifiés de la manutention";"2017-2019";"1616"
"J1Z";"Ouvriers qualifiés de la manutention";"2003-2005";"1282"
"J1Z40";"Ouvriers qualifiés du magasinage et de la manutention";"2003-2005";"1235"
